# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
0 2 4 -0.75000000 0.50000000 2.47273000 0 4.61114000 0.87500000 0.00000000 -1.17593843 0.06398099 -1.30656463 0.00000000 0.00000000 1
0 2 5 -0.75000000 0.50000000 2.79091000 0 5.09549000 1.00000000 0.00000000 -1.74696286 0.13757055 -2.82015437 0.00000000 0.00000000 2
0 2 6 -0.75000000 0.50000000 3.10909000 0 5.06574000 1.00000000 0.00000000 -2.73354518 -1.35100084 -2.39936266 0.00000000 0.00000000 2
0 2 7 -0.75000000 0.50000000 3.42727000 0 5.07182000 1.00000000 0.00000000 -2.70729632 -1.34657859 -2.40088987 0.00000000 0.00000000 2
0 2 8 -0.75000000 0.50000000 3.74545000 0 4.08819000 0.75000000 0.00000000 -2.57947572 -1.75824725 -1.76154838 0.00000000 0.00000000 2
0 2 9 -0.75000000 0.50000000 4.06364000 0 4.05221000 0.75000000 0.00000000 -2.80271016 -1.68856168 -1.82733031 0.00000000 0.00000000 2
0 2 10 -0.75000000 0.50000000 4.38182000 0 3.52273000 0.62500000 0.00000000 -3.27701844 -1.34407849 -2.09312907 0.00000000 0.00000000 2
0 2 11 -0.75000000 0.50000000 4.70000000 0 3.44430000 0.62500000 0.00000000 -3.43023433 -1.23868886 -2.13929915 0.00000000 0.00000000 2
0 3 0 -0.75000000 0.55000000 1.20000000 0 5.07741000 1.00000000 0.00000000 0.25326210 -1.40551861 -2.74604395 0.00000000 0.00000000 0
0 3 1 -0.75000000 0.55000000 1.51818000 0 5.10284000 1.00000000 0.00000000 0.20202812 -0.93057879 -2.64480683 0.00000000 0.00000000 0
0 3 2 -0.75000000 0.55000000 1.83636000 0 5.10032000 1.00000000 0.00000000 -0.18400824 -0.31457560 -2.51088677 0.00000000 0.00000000 0
0 3 3 -0.75000000 0.55000000 2.15455000 0 4.61201000 0.87500000 0.00000000 -0.37772360 -0.50717207 -1.73958928 0.00000000 0.00000000 1
0 3 4 -0.75000000 0.55000000 2.47273000 0 4.60947000 0.87500000 0.00000000 -1.25607070 0.45200788 -1.40309043 0.00000000 0.00000000 1
0 3 5 -0.75000000 0.55000000 2.79091000 0 5.10677000 1.00000000 0.00000000 -1.31501200 -0.10043653 -1.33413246 0.00000000 0.00000000 1
0 3 6 -0.75000000 0.55000000 3.10909000 0 5.09091000 1.00000000 0.00000000 -1.79609361 -0.29770376 -2.67536105 0.00000000 0.00000000 2
0 3 7 -0.75000000 0.55000000 3.42727000 0 5.02664000 1.00000000 0.00000000 -2.72176909 -1.36177178 -2.39119698 0.00000000 0.00000000 2
0 3 8 -0.75000000 0.55000000 3.74545000 0 4.56318000 0.87500000 0.00000000 -2.41320352 -1.82691046 -1.68762389 0.00000000 0.00000000 2
0 3 9 -0.75000000 0.55000000 4.06364000 0 4.06481000 0.75000000 0.00000000 -2.77133037 -0.28669921 -2.46164123 0.00000000 0.00000000 2
0 3 10 -0.75000000 0.55000000 4.38182000 0 3.96973000 0.75000000 0.00000000 -3.20017295 -0.96777011 -2.16173864 0.00000000 0.00000000 2
0 3 11 -0.75000000 0.55000000 4.70000000 0 2.52504000 0.37500000 0.00000000 -3.42216310 -0.91616546 -2.18474973 0.00000000 0.00000000 2
0 4 0 -0.75000000 0.60000000 1.20000000 0 5.09238000 1.00000000 0.00000000 -0.23434755 1.14869734 -1.33851175 0.00000000 0.00000000 1
0 4 1 -0.75000000 0.60000000 1.51818000 0 5.10898000 1.00000000 0.00000000 -0.05496725 -1.84723139 -2.63071417 0.00000000 0.00000000 0
0 4 2 -0.75000000 0.60000000 1.83636000 0 5.10763000 1.00000000 0.00000000 -0.12207188 -0.44104162 -1.67773608 0.00000000 0.00000000 1
0 4 3 -0.75000000 0.60000000 2.15455000 0 4.60376000 0.87500000 0.00000000 -1.10310206 0.41432813 -1.39335321 0.00000000 0.00000000 1
0 4 4 -0.75000000 0.60000000 2.47273000 0 4.61092000 0.87500000 0.00000000 -0.96974719 -0.15754525 -1.32466059 0.00000000 0.00000000 1
0 4 5 -0.75000000 0.60000000 2.79091000 0 5.10479000 1.00000000 0.00000000 -1.31822175 -0.19950317 -1.40213981 0.00000000 0.00000000 1
0 4 6 -0.75000000 0.60000000 3.10909000 0 5.10112000 1.00000000 0.00000000 -1.82640516 -0.52446927 -2.54189344 0.00000000 0.00000000 2
0 4 7 -0.75000000 0.60000000 3.42727000 0 4.57013000 0.87500000 0.00000000 -2.81126839 -1.60709571 -2.71921935 0.00000000 0.00000000 2
0 4 8 -0.75000000 0.60000000 3.74545000 0 4.46831000 0.87500000 0.00000000 -2.34363611 -1.85297562 -1.69753406 0.00000000 0.00000000 2
0 4 9 -0.75000000 0.60000000 4.06364000 0 4.00769000 0.75000000 0.00000000 -3.00687731 -0.88121502 -2.14205500 0.00000000 0.00000000 2
0 4 10 -0.75000000 0.60000000 4.38182000 0 3.06425000 0.50000000 0.00000000 -3.03501123 -0.74363738 -2.12996594 0.00000000 0.00000000 2
0 4 11 -0.75000000 0.60000000 4.70000000 0 2.54633000 0.37500000 0.00000000 -3.29574127 -0.69980408 -2.12502460 0.00000000 0.00000000 2
