# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
1 0 11 0.06000000 0.40000000 4.70000000 0 2.69162000 0.25000000 0.00000000 -3.44483705 -0.95265173 -2.24216464 1.57000000 0.00000000 0
1 1 0 0.06000000 0.45000000 1.20000000 0 5.85395000 1.00000000 0.00000000 0.11480612 -1.40318922 -2.34416851 1.57000000 0.00000000 0
1 1 1 0.06000000 0.45000000 1.51818000 0 5.92997000 1.00000000 0.00000000 0.16733647 -1.32217463 -2.31497652 1.57000000 0.00000000 0
1 1 2 0.06000000 0.45000000 1.83636000 0 5.92876000 1.00000000 0.00000000 -1.21738140 1.48417016 -1.28611482 1.57000000 0.00000000 1
1 1 3 0.06000000 0.45000000 2.15455000 0 5.35511000 0.87500000 0.00000000 -1.34636698 1.41093294 -1.16971084 1.57000000 0.00000000 1
1 1 4 0.06000000 0.45000000 2.47273000 0 5.89065000 1.00000000 0.00000000 -1.78203832 -1.53964980 -2.12106773 1.57000000 0.00000000 0
1 1 5 0.06000000 0.45000000 2.79091000 0 5.90761000 1.00000000 0.00000000 -2.15093494 -1.38660156 -2.09022923 1.57000000 0.00000000 0
1 1 6 0.06000000 0.45000000 3.10909000 0 5.91098000 1.00000000 0.00000000 -2.31559797 -1.29947951 -2.12450861 1.57000000 0.00000000 0
1 1 7 0.06000000 0.45000000 3.42727000 0 5.88982000 1.00000000 0.00000000 -2.54291110 -1.20977016 -2.20144826 1.57000000 0.00000000 0
1 1 8 0.06000000 0.45000000 3.74545000 0 5.27148000 0.87500000 0.00000000 -2.81606911 -1.28949495 -2.20577631 1.57000000 0.00000000 0
1 1 9 0.06000000 0.45000000 4.06364000 0 4.81543000 0.75000000 0.00000000 -3.17284006 -1.16000997 -1.98195070 1.57000000 0.00000000 0
1 1 10 0.06000000 0.45000000 4.38182000 0 3.32735000 0.37500000 0.00000000 -3.32713709 -1.07550465 -2.07856415 1.57000000 0.00000000 0
1 1 11 0.06000000 0.45000000 4.70000000 0 3.24546000 0.37500000 0.00000000 -3.40353169 -1.04336148 -2.19080422 1.57000000 0.00000000 0
1 2 0 0.06000000 0.50000000 1.20000000 0 5.93815000 1.00000000 0.00000000 -0.46633068 1.42922196 -1.77811632 1.57000000 0.00000000 1
1 2 1 0.06000000 0.50000000 1.51818000 0 5.92687000 1.00000000 0.00000000 0.31178313 -1.39832435 -2.30913836 1.57000000 0.00000000 0
1 2 2 0.06000000 0.50000000 1.83636000 0 5.92969000 1.00000000 0.00000000 -1.16016095 1.47819222 -1.33788702 1.57000000 0.00000000 1
1 2 3 0.06000000 0.50000000 2.15455000 0 5.37526000 0.87500000 0.00000000 -1.72898400 -1.52798857 -2.32482380 1.57000000 0.00000000 0
1 2 4 0.06000000 0.50000000 2.47273000 0 5.89443000 1.00000000 0.00000000 -1.88008775 -1.46035718 -2.14969661 1.57000000 0.00000000 0
1 2 5 0.06000000 0.50000000 2.79091000 0 5.91819000 1.00000000 0.00000000 -2.07295377 -1.35829806 -2.18636063 1.57000000 0.00000000 0
1 2 6 0.06000000 0.50000000 3.10909000 0 5.88408000 1.00000000 0.00000000 -2.30909145 -1.26352654 -2.22366544 1.57000000 0.00000000 0
1 2 7 0.06000000 0.50000000 3.42727000 0 5.88019000 1.00000000 0.00000000 -2.52474607 -1.30634715 -2.22156244 1.57000000 0.00000000 0
1 2 8 0.06000000 0.50000000 3.74545000 0 5.28159000 0.87500000 0.00000000 -2.75831138 -1.39897935 -2.17583315 1.57000000 0.00000000 0
1 2 9 0.06000000 0.50000000 4.06364000 0 4.32509000 0.62500000 0.00000000 -3.09839666 -1.28167176 -2.09012262 1.57000000 0.00000000 0
1 2 10 0.06000000 0.50000000 4.38182000 0 3.77681000 0.50000000 0.00000000 -2.98192391 -1.52447933 -1.48097303 1.57000000 0.00000000 0
1 2 11 0.06000000 0.50000000 4.70000000 0 3.37053000 0.37500000 0.00000000 -3.02438204 -1.52648632 -1.47440791 1.57000000 0.00000000 0
1 3 0 0.06000000 0.55000000 1.20000000 0 5.73175000 1.00000000 0.00000000 0.41652988 -1.62045081 -2.25136441 1.57000000 0.00000000 0
1 3 1 0.06000000 0.55000000 1.51818000 0 5.94887000 1.00000000 0.00000000 -0.66563623 1.33481416 -1.82374198 1.57000000 0.00000000 1
1 3 2 0.06000000 0.55000000 1.83636000 0 5.92301000 1.00000000 0.00000000 -1.11209974 1.43039553 -1.37263099 1.57000000 0.00000000 1
1 3 3 0.06000000 0.55000000 2.15455000 0 5.34562000 0.87500000 0.00000000 -1.74832559 -1.53769278 -2.37870232 1.57000000 0.00000000 0
1 3 4 0.06000000 0.55000000 2.47273000 0 5.83687000 1.00000000 0.00000000 -1.77889122 -1.50979792 -2.20498781 1.57000000 0.00000000 0
1 3 5 0.06000000 0.55000000 2.79091000 0 5.89184000 1.00000000 0.00000000 -1.93881377 -1.46012711 -2.18342340 1.57000000 0.00000000 0
1 3 6 0.06000000 0.55000000 3.10909000 0 5.88746000 1.00000000 0.00000000 -2.18611521 -1.37943738 -2.22784551 1.57000000 0.00000000 0
1 3 7 0.06000000 0.55000000 3.42727000 0 5.85505000 1.00000000 0.00000000 -2.41829438 -1.36816601 -2.23009511 1.57000000 0.00000000 0
1 3 8 0.06000000 0.55000000 3.74545000 0 5.35278000 0.87500000 0.00000000 -2.63234055 -1.39191392 -2.14390426 1.57000000 0.00000000 0
1 3 9 0.06000000 0.55000000 4.06364000 0 3.87781000 0.50000000 0.00000000 -2.74738623 -1.51212389 -1.46492109 1.57000000 0.00000000 0
1 3 10 0.06000000 0.55000000 4.38182000 0 3.71953000 0.50000000 0.00000000 -2.89565467 -1.43991712 -1.47164117 1.57000000 0.00000000 0
1 3 11 0.06000000 0.55000000 4.70000000 0 3.29650000 0.37500000 0.00000000 -2.96035424 -1.43049188 -1.49188442 1.57000000 0.00000000 0
1 4 0 0.06000000 0.60000000 1.20000000 0 4.84293000 0.75000000 0.00000000 0.42957232 -1.64011396 -2.18886195 1.57000000 0.00000000 0
1 4 1 0.06000000 0.60000000 1.51818000 0 5.92420000 1.00000000 0.00000000 0.36753684 -1.61210111 -2.12246667 1.57000000 0.00000000 0
1 4 2 0.06000000 0.60000000 1.83636000 0 5.92469000 1.00000000 0.00000000 -1.20286374 1.34116449 -1.48771936 1.57000000 0.00000000 1
1 4 3 0.06000000 0.60000000 2.15455000 0 5.37687000 0.87500000 0.00000000 -1.36008427 1.40538727 -1.44552790 1.57000000 0.00000000 1
1 4 4 0.06000000 0.60000000 2.47273000 0 5.29893000 0.87500000 0.00000000 -1.76967414 -1.45627384 -2.38226280 1.57000000 0.00000000 0
1 4 5 0.06000000 0.60000000 2.79091000 0 5.87240000 1.00000000 0.00000000 -1.82115239 -1.54558038 -2.20945471 1.57000000 0.00000000 0
1 4 6 0.06000000 0.60000000 3.10909000 0 5.91270000 1.00000000 0.00000000 -2.03083698 -1.48058308 -2.22947182 1.57000000 0.00000000 0
1 4 7 0.06000000 0.60000000 3.42727000 0 5.80767000 1.00000000 0.00000000 -2.33384746 -1.38184315 -2.24238280 1.57000000 0.00000000 0
1 4 8 0.06000000 0.60000000 3.74545000 0 5.38511000 0.87500000 0.00000000 -2.55107326 -1.33859664 -2.13848284 1.57000000 0.00000000 0
1 4 9 0.06000000 0.60000000 4.06364000 0 3.84829000 0.50000000 0.00000000 -2.63650608 -1.32502600 -2.03426175 1.57000000 0.00000000 0
1 4 10 0.06000000 0.60000000 4.38182000 0 3.35679000 0.37500000 0.00000000 -2.81121239 -1.35445195 -1.42646226 1.57000000 0.00000000 0
1 4 11 0.06000000 0.60000000 4.70000000 0 3.32857000 0.37500000 0.00000000 -2.89692112 -1.35703254 -1.46172497 1.57000000 0.00000000 0
2 0 0 0.12000000 0.40000000 1.20000000 0 5.94555000 1.00000000 0.00000000 0.35396180 -1.87257474 -1.53902791 1.57000000 0.00000000 0
2 0 1 0.12000000 0.40000000 1.51818000 0 5.93622000 1.00000000 0.00000000 0.12761423 -1.33466065 -2.22522320 1.57000000 0.00000000 0
2 0 2 0.12000000 0.40000000 1.83636000 0 5.42568000 0.87500000 0.00000000 -1.20821685 1.38118889 -1.20404460 1.57000000 0.00000000 1
2 0 3 0.12000000 0.40000000 2.15455000 0 5.37200000 0.87500000 0.00000000 -1.68709217 -1.49094673 -2.23132980 1.57000000 0.00000000 0
2 0 4 0.12000000 0.40000000 2.47273000 0 5.87862000 1.00000000 0.00000000 -2.11205706 -1.34820962 -2.05939521 1.57000000 0.00000000 0
