# iy iz iroll Y Z Roll candidate quality q0 q1 q2 q3 q4 q5 mode
0 1 3 -0.75000000 -0.00555556 -0.18333300 -1 2.01111649 0.90000000 -0.00000000 -0.26573679 1.45784040 -0.12783100 0.00000000 0
0 1 4 -0.75000000 -0.00555556 0.02222220 -1 1.90538859 1.00000000 0.00000000 -0.25700223 1.46114127 0.49445800 0.00000000 0
0 1 5 -0.75000000 -0.00555556 0.22777800 -1 1.54589007 1.00000000 -0.00000000 -0.28191703 1.43634916 -0.72203300 0.00000000 0
0 1 6 -0.75000000 -0.00555556 0.43333300 -1 1.25235785 1.00000000 -0.00000000 -0.38158762 1.36802723 0.70433500 0.00000000 0
0 1 7 -0.75000000 -0.00555556 0.63888900 -1 1.32582977 1.00000000 0.00000000 -0.49104870 1.25853993 0.22736400 0.00000000 0
0 1 8 -0.75000000 -0.00555556 0.84444400 -1 1.47199855 1.00000000 -0.00000001 -0.48886934 1.19349992 1.41463000 0.00000000 0
0 1 9 -0.75000000 -0.00555556 1.05000000 -1 1.33680390 0.90000000 -0.00000000 -0.46904139 1.16166084 1.52604000 0.00000000 0
0 2 0 -0.75000000 0.03888890 -0.80000000 -1 1.13756750 0.60000000 -0.00000001 0.37968068 1.81012467 1.05317000 0.00000000 0
0 2 1 -0.75000000 0.03888890 -0.59444400 -1 1.67502908 0.60000000 -0.00000000 0.33585678 1.81730409 -1.34507000 0.00000000 0
0 2 2 -0.75000000 0.03888890 -0.38888900 -1 1.81252439 0.90000000 0.00000000 0.28670669 1.81303295 -1.55904000 0.00000000 0
0 2 3 -0.75000000 0.03888890 -0.18333300 -1 1.84831276 0.80000000 -0.00000000 -0.28777086 1.43697085 -0.38494700 0.00000000 0
0 2 4 -0.75000000 0.03888890 0.02222220 -1 1.90455289 1.00000000 0.00000000 -0.28902183 1.43539717 1.72258000 0.00000000 0
0 2 5 -0.75000000 0.03888890 0.22777800 -1 1.68682070 1.00000000 0.00000001 -0.30884189 1.41970422 0.14881200 0.00000000 0
0 2 6 -0.75000000 0.03888890 0.43333300 -1 1.44600478 1.00000000 0.00000000 -0.38160812 1.37833395 0.97005600 0.00000000 0
0 2 7 -0.75000000 0.03888890 0.63888900 -1 1.44122880 1.00000000 -0.00000000 -0.48870398 1.28516808 1.57581000 0.00000000 0
