# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 1 -0.75 -0.05 -0.594444 8 6.99937 0.6 0 0.413693 2.21796 -1.46667 0 0
0 0 1 -0.75 -0.05 -0.594444 9 6.10592 0.5 0 -0.520213 0.156021 1.16637 0 0
0 0 2 -0.75 -0.05 -0.388889 0 9.07517 0.8 0 0.020407 1.41816 0.762981 0 0
0 0 2 -0.75 -0.05 -0.388889 1 9.05234 0.8 0 0.560186 1.26804 0.96156 0 0
0 0 2 -0.75 -0.05 -0.388889 2 9.03706 0.8 0 -0.864289 2.083 -0.15376 0 0
0 0 2 -0.75 -0.05 -0.388889 3 8.09949 0.7 0 -1.12564 0.922958 0.342519 0 0
0 0 2 -0.75 -0.05 -0.388889 4 8.09293 0.7 0 -0.299741 0.928438 0.978235 0 0
0 0 2 -0.75 -0.05 -0.388889 5 8.0881 0.7 0 -0.200464 0.964714 1.34213 0 0
0 0 2 -0.75 -0.05 -0.388889 6 8.08647 0.7 0 -0.694568 1.05227 -1.65542 0 0
0 0 2 -0.75 -0.05 -0.388889 7 8.07708 0.7 0 -0.180785 1.51604 0.637912 0 0
0 0 2 -0.75 -0.05 -0.388889 8 8.06232 0.7 0 -0.974782 1.52626 -1.6224 0 0
0 0 2 -0.75 -0.05 -0.388889 9 8.05657 0.7 0 -0.595007 1.81297 -0.752032 0 0
0 0 3 -0.75 -0.05 -0.183333 0 11.0006 1 0 -1.39084 2.22881 1.64032 0 0
0 0 3 -0.75 -0.05 -0.183333 1 10.0798 0.9 0 -0.319226 1.28732 0.799273 0 0
0 0 3 -0.75 -0.05 -0.183333 2 10.0619 0.9 0 -1.43687 1.64074 -0.072069 0 0
0 0 3 -0.75 -0.05 -0.183333 3 10.0598 0.9 0 -0.306878 1.49408 1.62967 0 0
0 0 3 -0.75 -0.05 -0.183333 4 10.0583 0.9 0 -0.130386 1.6571 0.96074 0 0
0 0 3 -0.75 -0.05 -0.183333 5 10.0555 0.9 0 0.746484 0.307037 -0.285153 0 0
0 0 3 -0.75 -0.05 -0.183333 6 10.0078 0.9 0 -1.21081 2.38461 -0.439548 0 0
0 0 3 -0.75 -0.05 -0.183333 7 9.09268 0.8 0 0.330212 0.864156 0.108512 0 0
0 0 3 -0.75 -0.05 -0.183333 8 9.06967 0.8 0 0.369806 1.31122 -0.70602 0 0
0 0 3 -0.75 -0.05 -0.183333 9 9.06388 0.8 0 0.307994 1.54005 -0.075637 0 0
0 0 4 -0.75 -0.05 0.0222222 0 11.0857 1 0 -1.41059 1.18981 -0.19841 0 0
0 0 4 -0.75 -0.05 0.0222222 1 11.0768 1 0 0.131486 1.37323 -1.1213 0 0
0 0 4 -0.75 -0.05 0.0222222 2 11.0662 1 0 -0.126832 1.72406 -0.364357 0 0
0 0 4 -0.75 -0.05 0.0222222 3 11.04 1 0 -0.324017 1.92171 0.990599 0 0
0 0 4 -0.75 -0.05 0.0222222 4 11.0254 1 0 -0.95555 2.11941 -1.38526 0 0
0 0 4 -0.75 -0.05 0.0222222 5 10.0988 0.9 0 0.372255 0.23833 0.928725 0 0
0 0 4 -0.75 -0.05 0.0222222 6 10.0878 0.9 0 -0.673664 1.30584 0.0389405 0 0
0 0 4 -0.75 -0.05 0.0222222 7 10.0851 0.9 0 -0.0075661 1.39879 0.236318 0 0
0 0 4 -0.75 -0.05 0.0222222 8 10.0786 0.9 0 -1.25346 1.24989 -1.21554 0 0
0 0 4 -0.75 -0.05 0.0222222 9 10.0761 0.9 0 -0.50444 1.54503 0.0400763 0 0
0 0 5 -0.75 -0.05 0.227778 0 11.1017 1 0 -0.0292787 1.04357 0.111846 0 0
0 0 5 -0.75 -0.05 0.227778 1 11.0836 1 0 -1.37681 0.932914 1.10365 0 0
0 0 5 -0.75 -0.05 0.227778 2 11.0324 1 0 -0.453038 2.10109 -1.21447 0 0
0 0 5 -0.75 -0.05 0.227778 3 10.1036 0.9 0 -0.0157531 0.452295 1.18387 0 0
0 0 5 -0.75 -0.05 0.227778 4 10.0975 0.9 0 0.339129 0.228499 1.30557 0 0
0 0 5 -0.75 -0.05 0.227778 5 10.0964 0.9 0 0.143577 0.487516 1.69221 0 0
0 0 5 -0.75 -0.05 0.227778 6 10.0825 0.9 0 -0.0912611 1.42387 -0.680477 0 0
0 0 5 -0.75 -0.05 0.227778 7 10.0812 0.9 0 0.236902 1.09643 1.39308 0 0
0 0 5 -0.75 -0.05 0.227778 8 10.0646 0.9 0 -1.55463 1.56257 -0.233279 0 0
0 0 5 -0.75 -0.05 0.227778 9 10.0508 0.9 0 -0.641053 1.9217 -0.305938 0 0
0 0 6 -0.75 -0.05 0.433333 0 11.0962 1 0 0.111896 1.04743 0.624199 0 0
0 0 6 -0.75 -0.05 0.433333 1 11.0489 1 0 -1.42543 1.62607 1.2034 0 0
0 0 6 -0.75 -0.05 0.433333 2 11.0485 1 0 -1.52389 1.82657 -0.285241 0 0
0 0 6 -0.75 -0.05 0.433333 3 11.0191 1 0 -1.19664 2.23447 -0.796603 0 0
0 0 6 -0.75 -0.05 0.433333 4 10.1161 0.9 0 -0.167112 0.507617 0.459045 0 0
0 0 6 -0.75 -0.05 0.433333 5 10.1035 0.9 0 -0.364047 0.25572 1.37116 0 0
0 0 6 -0.75 -0.05 0.433333 6 10.092 0.9 0 -1.55312 0.260593 1.47709 0 0
0 0 6 -0.75 -0.05 0.433333 7 10.0868 0.9 0 -1.1174 0.671805 1.70343 0 0
0 0 6 -0.75 -0.05 0.433333 8 10.0811 0.9 0 -0.52657 0.979112 1.74232 0 0
0 0 6 -0.75 -0.05 0.433333 9 10.08 0.9 0 -1.26609 0.845021 1.72336 0 0
0 0 7 -0.75 -0.05 0.638889 0 11.1087 1 0 -0.146122 0.0655103 1.03919 0 0
0 0 7 -0.75 -0.05 0.638889 1 11.1021 1 0 -0.167049 0.0789396 1.58995 0 0
0 0 7 -0.75 -0.05 0.638889 2 11.0954 1 0 -0.77211 0.719625 1.16018 0 0
0 0 7 -0.75 -0.05 0.638889 3 11.0919 1 0 -0.916284 0.882455 0.89488 0 0
0 0 7 -0.75 -0.05 0.638889 4 11.0877 1 0 -0.622009 1.31582 0.228132 0 0
0 0 7 -0.75 -0.05 0.638889 5 11.0619 1 0 -0.733384 1.74135 0.420033 0 0
0 0 7 -0.75 -0.05 0.638889 6 11.0401 1 0 -0.537168 1.96778 -1.34607 0 0
0 0 7 -0.75 -0.05 0.638889 7 11.0326 1 0 -0.42202 2.17495 -0.356996 0 0
0 0 7 -0.75 -0.05 0.638889 8 11.0302 1 0 -0.513556 1.99811 1.3335 0 0
0 0 7 -0.75 -0.05 0.638889 9 10.9979 1 0 -1.34803 2.48725 0.17656 0 0
0 0 8 -0.75 -0.05 0.844444 0 11.0959 1 0 -0.573201 0.604809 1.45881 0 0
0 0 8 -0.75 -0.05 0.844444 1 11.0887 1 0 -0.563621 1.03991 0.881833 0 0
0 0 8 -0.75 -0.05 0.844444 2 11.0869 1 0 -0.298576 0.986926 1.36015 0 0
0 0 8 -0.75 -0.05 0.844444 3 11.045 1 0 -0.876223 1.67235 1.71807 0 0
0 0 8 -0.75 -0.05 0.844444 4 11.0075 1 0 -1.01475 2.23538 1.38433 0 0
0 0 8 -0.75 -0.05 0.844444 5 10.0898 0.9 0 -0.654574 1.26858 -0.0860072 0 0
0 0 8 -0.75 -0.05 0.844444 6 10.0879 0.9 0 -1.09968 0.723889 1.54326 0 0
0 0 8 -0.75 -0.05 0.844444 7 10.0808 0.9 0 -0.711704 1.21688 0.833386 0 0
0 0 8 -0.75 -0.05 0.844444 8 10.0775 0.9 0 -0.782155 1.19114 1.25761 0 0
0 0 8 -0.75 -0.05 0.844444 9 10.061 0.9 0 -0.708797 1.74204 0.589301 0 0
0 0 9 -0.75 -0.05 1.05 0 10.0993 0.9 0 0.191184 0.317665 1.66022 0 0
0 0 9 -0.75 -0.05 1.05 1 10.0958 0.9 0 -0.266704 0.5459 1.63991 0 0
0 0 9 -0.75 -0.05 1.05 2 10.0887 0.9 0 -0.347938 0.823899 1.62562 0 0
0 0 9 -0.75 -0.05 1.05 3 10.0832 0.9 0 -0.74102 1.23197 -1.31552 0 0
0 0 9 -0.75 -0.05 1.05 4 10.0825 0.9 0 -0.350761 1.14974 1.16168 0 0
0 0 9 -0.75 -0.05 1.05 5 10.0722 0.9 0 -0.333226 1.3462 1.27427 0 0
0 0 9 -0.75 -0.05 1.05 6 10.0634 0.9 0 -0.711881 1.46613 1.33638 0 0
0 0 9 -0.75 -0.05 1.05 7 10.0519 0.9 0 -0.674146 1.72353 0.989376 0 0
0 0 9 -0.75 -0.05 1.05 8 10.0512 0.9 0 -1.53006 1.64244 0.776856 0 0
0 0 9 -0.75 -0.05 1.05 9 10.0472 0.9 0 -0.771285 1.95443 0.412911 0 0
0 1 0 -0.75 -0.00555556 -0.8 0 7.07459 0.6 0 -0.175614 1.58604 0.255689 0 0
0 1 0 -0.75 -0.00555556 -0.8 1 7.0201 0.6 0 0.724025 1.23703 -1.72289 0 0
0 1 0 -0.75 -0.00555556 -0.8 2 6.08795 0.5 0 -0.303528 1.311 -0.627381 0 0
0 1 0 -0.75 -0.00555556 -0.8 3 6.05822 0.5 0 0.633566 0.976764 -0.324533 0 0
0 1 0 -0.75 -0.00555556 -0.8 4 6.05819 0.5 0 -0.719097 1.49261 1.61932 0 0
0 1 0 -0.75 -0.00555556 -0.8 5 6.05521 0.5 0 0.308571 1.67354 0.389476 0 0
0 1 0 -0.75 -0.00555556 -0.8 6 6.03432 0.5 0 0.639956 1.32767 -1.37344 0 0
0 1 0 -0.75 -0.00555556 -0.8 7 6.02627 0.5 0 -0.510157 2.24672 0.224924 0 0
0 1 0 -0.75 -0.00555556 -0.8 8 6.00823 0.5 0 -1.1456 2.23758 1.19352 0 0
0 1 0 -0.75 -0.00555556 -0.8 9 5.10143 0.4 0 0.0712812 0.341982 1.49966 0 0
0 1 1 -0.75 -0.00555556 -0.594444 0 8.08959 0.7 0 -0.304108 1.17173 0.730415 0 0
0 1 1 -0.75 -0.00555556 -0.594444 1 8.01544 0.7 0 -0.227297 2.25776 -1.61492 0 0
0 1 1 -0.75 -0.00555556 -0.594444 2 7.11072 0.6 0 -0.0430416 0.00968889 0.820668 0 0
