# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 8 3 -0.75000000 0.30555600 -0.18333300 7 -3.80123270 0.70000000 0.00000000 0.21230463 1.63506743 0.48574804 0.00000000 0.00000000
0 8 4 -0.75000000 0.30555600 0.02222220 9 -3.54868467 0.70000000 0.00000000 0.49343549 1.38009022 -1.60810280 0.00000000 0.00000000
0 8 5 -0.75000000 0.30555600 0.22777800 9 -3.07230089 0.80000000 0.00000000 0.48071783 1.36887030 -1.60789873 0.00000000 0.00000000
0 8 6 -0.75000000 0.30555600 0.43333300 7 -2.34417187 0.90000000 0.00000000 -0.62050132 2.22856940 -0.03508293 0.00000000 0.00000000
0 8 7 -0.75000000 0.30555600 0.63888900 9 -1.59656662 0.90000000 0.00000000 0.49708618 0.70372150 -1.46784725 0.00000000 0.00000000
0 8 8 -0.75000000 0.30555600 0.84444400 9 -2.14128436 1.00000000 0.00000000 0.49603842 0.70070600 -1.47118005 0.00000000 0.00000000
0 8 9 -0.75000000 0.30555600 1.05000000 3 -2.21011498 1.00000000 0.00000000 0.07498195 1.10938229 1.69329898 0.00000000 0.00000000
0 9 0 -0.75000000 0.35000000 -0.80000000 7 -8.81620846 0.20000000 0.00000000 0.21636559 1.64068200 0.49086014 0.00000000 0.00000000
0 9 1 -0.75000000 0.35000000 -0.59444400 7 -6.20252705 0.30000000 0.00000000 0.21286782 1.63635635 0.48766245 0.00000000 0.00000000
0 9 2 -0.75000000 0.35000000 -0.38888900 7 -4.62448374 0.40000000 0.00000000 0.21241588 1.63528198 0.48614710 0.00000000 0.00000000
0 9 3 -0.75000000 0.35000000 -0.18333300 7 -4.09822354 0.60000000 0.00000000 0.21232414 1.63496358 0.48556703 0.00000000 0.00000000
0 9 4 -0.75000000 0.35000000 0.02222220 7 -4.62679882 0.80000000 0.00000000 0.21220509 1.63494990 0.48534106 0.00000000 0.00000000
0 9 5 -0.75000000 0.35000000 0.22777800 9 -3.93838720 0.80000000 0.00000000 0.48023700 1.36476233 -1.60219164 0.00000000 0.00000000
0 9 6 -0.75000000 0.35000000 0.43333300 9 -2.37925408 0.80000000 0.00000000 0.50011540 0.71097451 -1.45990211 0.00000000 0.00000000
0 9 7 -0.75000000 0.35000000 0.63888900 9 -1.89735695 0.90000000 0.00000000 0.49686189 0.70278610 -1.46832067 0.00000000 0.00000000
0 9 8 -0.75000000 0.35000000 0.84444400 9 -2.43903092 0.90000000 0.00000000 0.49601852 0.70034812 -1.47133527 0.00000000 0.00000000
0 9 9 -0.75000000 0.35000000 1.05000000 1 -2.34962794 0.90000000 0.00000000 -0.05624040 0.78547589 -0.75892773 0.00000000 0.00000000
