# Y Z ROLL candidate quality planning q0 q1 q2 q3 q4 q5
-0.75 0.172222 0.844444 3 11.0902 1 0 -0.734801 1.24655 -0.0615955 0 0
-0.75 0.172222 1.05 7 11.0867 1 0 -0.387553 1.35188 0.341331 0 0
-0.75 0.216667 -0.8 0 5.08924 0.4 0 -0.149419 1.3205 -0.258067 0 0
-0.75 0.216667 -0.594444 6 5.09142 0.4 0 0.140866 1.17136 -0.0804292 0 0
-0.75 0.216667 -0.388889 2 8.07408 0.7 0 0.239712 1.41704 0.362712 0 0
-0.75 0.216667 -0.183333 1 9.0561 0.8 0 -0.356924 1.86352 0.258145 0 0
-0.75 0.216667 0.0222222 0 11.0713 1 0 -1.02795 1.3412 0.972431 0 0
-0.75 0.216667 0.227778 6 10.0755 0.9 0 -0.0549729 1.30147 1.21431 0 0
-0.75 0.216667 0.433333 0 11.1186 1 0 -0.0731916 0.375573 0.487258 0 0
-0.75 0.216667 0.638889 1 11.0975 1 0 -0.386452 1.12804 -0.0709293 0 0
-0.75 0.216667 0.844444 0 11.1047 1 0 -0.179477 0.954089 0.00943961 0 0
-0.75 0.216667 1.05 2 11.1049 1 0 -0.51788 0.470742 0.875057 0 0
-0.75 0.261111 -0.8 0 5.0829 0.4 0 0.464737 0.842417 0.0282975 0 0
-0.75 0.261111 -0.594444 0 6.10205 0.5 0 0.0599366 0.970831 0.450224 0 0
-0.75 0.261111 -0.388889 1 7.05759 0.6 0 -0.143267 1.85103 0.388433 0 0
-0.75 0.261111 -0.183333 0 10.0658 0.9 0 -0.0366334 1.52425 1.0128 0 0
-0.75 0.261111 0.0222222 2 10.0997 0.9 0 -0.335741 1.03018 0.656604 0 0
-0.75 0.261111 0.227778 0 11.0805 1 0 -0.0721381 1.14603 1.39483 0 0
-0.75 0.261111 0.433333 2 10.1024 0.9 0 0.238166 0.701349 0.350733 0 0
-0.75 0.261111 0.638889 1 11.0959 1 0 -0.390771 1.1585 -0.273116 0 0
-0.75 0.261111 0.844444 8 10.1105 0.9 0 0.0165868 0.759452 0.191068 0 0
-0.75 0.261111 1.05 0 11.1013 1 0 -0.607582 0.788636 0.740195 0 0
-0.75 0.305556 -0.8 0 4.0894 0.3 0 0.173487 1.17754 0.198194 0 0
-0.75 0.305556 -0.594444 0 5.09186 0.4 0 0.254541 0.920549 0.901309 0 0
-0.75 0.305556 -0.388889 0 7.06711 0.6 0 -0.20994 1.71438 0.0370505 0 0
-0.75 0.305556 -0.183333 1 8.07955 0.7 0 -0.345466 1.48994 0.263862 0 0
-0.75 0.305556 0.0222222 2 9.10336 0.8 0 -0.314744 0.974788 0.347541 0 0
-0.75 0.305556 0.227778 1 10.105 0.9 0 -0.0422558 0.951961 0.273551 0 0
-0.75 0.305556 0.433333 0 11.1141 1 0 -0.139306 0.599294 0.549496 0 0
-0.75 0.305556 0.638889 0 11.096 1 0 -0.110288 1.18591 -0.129071 0 0
-0.75 0.305556 0.844444 2 11.1073 1 0 -0.438957 0.861168 -0.12751 0 0
-0.75 0.305556 1.05 1 11.1111 1 0 -0.395647 0.711064 -0.403197 0 0
-0.75 0.35 -0.8 0 5.02739 0.4 0 0.632795 1.51116 1.22462 0 0
-0.75 0.35 -0.594444 0 4.04621 0.3 0 0.66869 1.08231 0.829471 0 0
-0.75 0.35 -0.388889 1 6.03721 0.5 0 0.537897 1.65373 -0.398879 0 0
-0.75 0.35 -0.183333 2 6.08569 0.5 0 -0.0861303 1.37621 0.5548 0 0
-0.75 0.35 0.0222222 0 8.10147 0.7 0 -0.0498216 1.05543 -0.0370384 0 0
-0.75 0.35 0.227778 3 9.08442 0.8 0 -0.542702 1.37528 0.362893 0 0
-0.75 0.35 0.433333 0 10.0722 0.9 0 -0.656832 1.38256 0.938567 0 0
-0.75 0.35 0.638889 0 11.1037 1 0 -0.185578 0.932537 0.632856 0 0
-0.75 0.35 0.844444 8 10.0958 0.9 0 -0.460315 1.16059 0.214488 0 0
-0.75 0.35 1.05 0 11.1096 1 0 -0.338751 0.790674 0.0855643 0 0
